term,Estimate,Std. Error,z value,Pr(>|z|)
rel_year::-10:treated,1.44190015165439,1.08311372300011,1.3312546236239,0.183105243426756
rel_year::-9:treated,1.41127729149599,1.04330399523472,1.35269997809074,0.176151497455216
rel_year::-8:treated,1.89502574315487,0.896414682829602,2.1140056934064,0.0345147810471098
rel_year::-7:treated,1.19015598557935,0.8882520413343,1.33988544939514,0.180282589347018
rel_year::-6:treated,0.899658331710265,0.935775694963388,0.961403824177612,0.336349162215596
rel_year::-5:treated,0.862554581506055,0.781669167085802,1.10347781110749,0.269819722258971
rel_year::0:treated,0.416850430220556,0.420907068590115,0.990362151951624,0.321997137868913
rel_year::1:treated,0.459742001575132,0.483859521647968,0.950155946108708,0.342033019444103
rel_year::2:treated,-0.049089510298455,0.802487304844585,-0.0611716970500387,0.951222469989699
rel_year::3:treated,1.11176076145063,0.476058662351362,2.33534404344077,0.0195254550726394
rel_year::4:treated,0.646055572919791,0.380462873837666,1.69807783451546,0.089493072443168
rel_year::5:treated,0.925769475745751,0.69145631435523,1.33886907462695,0.180613298859076
rel_year::6:treated,0.551472930446053,0.579184353168093,0.952154400286437,0.341018683130579
rel_year::7:treated,1.14603118066551,0.70982342231074,1.61452995864063,0.106412524019149
rel_year::8:treated,1.31158758644114,0.483090720567403,2.71499229979131,0.00662773114716158
rel_year::9:treated,0.874476181329056,0.550088868531556,1.58969983098084,0.111902481808927
rel_year::10:treated,-0.0385552766079632,0.702966841855428,-0.0548465081314496,0.956260748008127
rel_year::11:treated,0.738170861838814,0.604764406149469,1.22059243952326,0.222240370335424
rel_year::12:treated,0.841407106909243,0.710082501649012,1.18494274250564,0.236040086236453
rel_year::13:treated,0.419033837210622,0.640386452565194,0.654345255949902,0.512889395340552
rel_year::14:treated,0.487544664818045,0.560628012656741,0.869640213851669,0.384497054101297
rel_year::15:treated,0.615925831515037,0.694824750740955,0.886447742194301,0.37537630226029
