Group,Airports,"Mean annual strikes, pre","Mean annual damaging strikes, pre","Mean damage share, pre"
Treated airports,20,0.410714285714286,0.107142857142857,0.0816937229437229
Control airports,757,0.303995476818696,0.112419901997738,0.0783668942684334
