model,term,Estimate,Std. Error,t value,Pr(>|t|)
intensive,chpl_post,0.376625345822802,0.612378804644448,0.615020217823303,0.541940047050638
intensive,chpl_post_chpl,-1.15916715253776,0.443890463731425,-2.61138106638648,0.0125413174837713
no_largest,chpl_post,5.57350950915081,1.53930922680858,3.62078613710791,0.000800216950559405
no_largest,chpl_post_chpl,-4.36946439824216,1.10207678198813,-3.96475496957637,0.000287620497768501
country_level,chpl_post,2.407197308701,0.91665046727655,2.62607983591935,0.11955277340426
country_level,chpl_post_chpl,-0.899613191808156,1.14995056089578,-0.78230597244753,0.515950427924768
