Test,Coefficient,SE,Stars
Temporal placebo (Jan 2020),-0.0384714344788068,0.0134587513095899,***
Flats only (school quality less relevant),-0.0151361108335971,0.0223728647975535,""
Houses only (school quality relevant),-0.0297623183416307,0.0120122053785472,**
Distance 1km,-0.0302048646075441,0.010494390663113,***
Distance 2km,-0.040075406904525,0.0125683245622719,***
Distance 3km,-0.0478010714813529,0.0133732817056853,***
Distance 5km,-0.0463787828240187,0.0150163854526229,***
Distance 10km,-0.0231855917384764,0.0213854735330089,""
