term,Estimate,Std. Error,t value,Pr(>|t|),rel_year
rel_year::-5:treated,-0.000782363949676064,0.00119201732537598,-0.656336055710676,0.512954132289318,-5
rel_year::-4:treated,0.00586598577701956,0.00396939751842818,1.47780255058516,0.142267290530246,-4
rel_year::-3:treated,0.000894631171661312,0.000786170801946744,1.13796031275391,0.257565512408205,-3
rel_year::-2:treated,-0.00240775458717595,0.00166237326977413,-1.44838384432342,0.150303531399668,-2
rel_year::0:treated,0.0000686933830134597,0.000142946637336005,0.480552633441747,0.631771825076261,0
rel_year::1:treated,-0.0000160738930611978,0.000155703603767005,-0.103233917984652,0.917961941708751,1
rel_year::2:treated,-0.0000531281759502014,0.000209313697818408,-0.253820827322506,0.800099354836125,2
rel_year::3:treated,-0.0000551604786952921,0.00025706904990898,-0.214574561639461,0.830489226700654,3
