cutoff,polynomial,estimate,se_bc,pval
F,1,-0.05641910765680613,0.029838234372551387,0.023071521937804228
F,2,-0.06746694079048687,0.030821418819599985,0.014341881340902371
E,1,4.977241867916149e-4,0.022945093499055727,0.9145477319266219
E,2,0.006737600325104509,0.02771021891585473,0.683010226477591
D,1,0.03265186503972117,0.023042962550803858,0.1015744803568121
D,2,0.04070675345433372,0.023529797948170297,0.0561483554941539
