cutoff,type,n_effective,estimate,se_bc,pval
90,placebo,16880,0.08762640077680395,0.025045403924190017,7.189439424469937e-5
145,placebo,24805,-0.025871540102992086,0.02614677567092017,0.1070479481488988
215,placebo,15255,-0.04414025620018691,0.03530821302363697,0.061281483915866145
