cutoff,cutoff_value,n_total,n_effective,n_left,n_right,bandwidth,estimate,se,ci_lower,ci_upper,pval,estimate_bc,se_bc
A,70,150101,21989,9729,12260,6.752046798770131,0.047997390920258454,0.021031013038312344,-0.005985137595914548,0.09194180743090682,0.08536261202021926,0.04297833491749614,0.02498182257410255
B,110,121356,32455,14868,17587,10.44434845199324,-0.018077850097219184,0.01709095172919589,-0.05250438983565537,0.026185349049702107,0.5121193185689625,-0.013159520392976631,0.02007428185059831
C,180,114715,32766,16370,16396,11.289584453495406,0.012134715087700698,0.017201255806223163,-0.029807914943332257,0.05104185243130623,0.6067248334075251,0.010616968743986988,0.02062531965188421
D,250,134103,30383,15280,15103,9.11559232073337,0.03265186503972117,0.019573031436397235,-0.0074358710718193805,0.08289088232154214,0.1015744803568121,0.03772750562486138,0.023042962550803858
E,330,156597,37548,20116,17432,10.011927510108917,4.977241867916149e-4,0.019235659464289838,-0.04743365948936946,0.04250945427073722,0.9145477319266219,-0.002462102609316119,0.022945093499055727
F,420,164832,21818,11672,10146,5.843988608771928,-0.05641910765680613,0.027107722389815597,-0.1262817398658635,-0.009318010400931893,0.023071521937804228,-0.06779987513339769,0.029838234372551387
