cutoff,donut_width,n_effective,estimate,se_bc,pval
F,0,21620,-0.053211405645800625,0.030715233632503277,0.03497700372525091
F,3,20443,0.05725803523136008,0.07021002827083869,0.5131141932835003
F,5,10056,0.02280517368735069,0.21076900108525368,0.9294572955365872
E,0,36905,-0.002288297236702874,0.023359279848795482,0.7960495239408807
E,3,7294,-0.0021893148904243986,0.18347271839868975,0.8802350866821119
E,5,4853,0.027571392257033978,0.48308738951209257,0.9756234996231012
D,0,28513,0.04194777087511703,0.02361109185666917,0.038778921951529745
D,3,9562,0.037750928964225494,0.11786284065096202,0.6271729652738034
