property_type,label,coef,se,pval,n
high_flat,High-Flat LAs,0.0601537048303925,0.0224749906988765,0.00794658304177839,3564
low_flat,Low-Flat LAs,-0.00932904161989821,0.0173594096600601,0.591459914574885,3584
