period,N,Mean_Price,SD_Price,Median_Price,Mean_Score,Pct_Rental
Pre-MEES,2775766,278215.854651653,258092.669959743,219000,64.2652720005937,10.2429383456697
Post-MEES Pre-Crisis,3014333,314927.898947794,275314.475310662,250000,65.6098878259303,9.01191076102275
Crisis,1224708,351749.774498084,323246.898098914,275500,65.0687004575785,11.2676654353518
Post-Crisis,98396,363551.659610147,323826.864185524,285000,63.9191633806252,11.4547339322737
