epc_band,N,Mean_Price,SD_Price,Median_Price,Mean_Score,Mean_FloorArea,Pct_Flat,Pct_NewBuild,Pct_Rental,Pct_AddrMatch
A,14400,414201.848333333,298409.037768349,350000,94.5581944444444,119.896647430555,7.39583333333333,58.388888888889,0.805555555555575,89.6458333333334
B,1143175,343352.682577033,279971.020089543,285000,83.9187455988803,98.6336023943048,27.9401666411483,59.2411485555595,2.62523235725031,94.0450937083124
C,1728576,287693.436885622,257156.04353211,228000,73.1562164463697,90.3282748617739,28.4290653115656,4.02076622607716,12.5988675071251,85.9511528564553
D,2883141,297300.719429955,265484.11988647,235000,62.2343548234374,93.5935228923461,10.7066217018236,0.502958405433023,10.8210108350583,88.0458153104548
E,1059962,323932.049350826,329255.328490252,240000,48.2089527737787,101.225186385976,8.77484287172644,0.328785371551098,11.5120164685173,90.6149465735564
F,226942,334239.382767403,338096.965280968,245000,31.7583655735827,108.118157735235,7.82534744560425,0.22560830520573,8.34398216284325,90.0732345709477
G,57007,280268.564421913,282804.291449805,209000,11.3326433595874,100.146867984984,6.97633623940881,0.191204588910136,7.69028364937641,87.5085515813847
