is_border,regime,mean_rate,sd_rate,median_rate,mean_pop,n_obs,n_counties
TRUE,covid_closed,23.8008876497643,25.2311398496633,15.4412902799791,231897.107499999,400,51
TRUE,post_legal,24.826476009975,26.9275061092755,17.2681747539285,294179.529411766,255,51
TRUE,post_reopen,20.098222966315,25.0553031138063,12.1867149836947,246966.232843137,408,51
TRUE,pre,16.5651830001372,23.9284343964563,4.29138504452312,262907.765737874,969,51
FALSE,covid_closed,24.9250639403136,45.4352357229331,16.7512724012068,278268.191750633,3176,406
FALSE,post_legal,25.5022809427716,35.0508352395327,19.559074187421,326141.326752224,2026,406
FALSE,post_reopen,19.526361810456,25.5640795867802,13.3449764964332,310162.284833536,3244,406
FALSE,pre,16.3528074209896,29.2259701301012,6.25536526611002,324639.36595801,7714,406
