year,coef,se,ci_lower,ci_upper,bw,n_eff,bc_coef,bc_se
2020,0.0770862325956205,0.0113127359801398,0.0549136775079361,0.0992587876833049,108.381722865192,38769,0.0836713128475735,0.0118360789511147
2021,0.0706710602375829,0.00880648863043154,0.0534106596916756,0.0879314607834902,70.5119403887758,69549,0.0761544670529766,0.00910583284480628
2022,0.0525368074378161,0.00806106546893487,0.0367374094416843,0.0683362054339479,89.127885711818,72745,0.0572993601261853,0.00836468712495122
2023,0.0584275508283279,0.00936450522387558,0.0400734578564945,0.0767816438001612,86.1708717697296,57277,0.0639713256512495,0.0097319280809412
2024,0.0241581191503721,0.00813217175743654,0.00821935538970273,0.0400968829110415,159.518544032533,63885,0.028276341288568,0.00861024903447551
2025,0.0198897625995373,0.0124634622080371,-0.0045381744508914,0.0443176996499661,160.321100042336,26995,0.0266252082356218,0.0131017944237423
