Group,n,mean_price_m2,sd_price_m2,median_price_m2,mean_surface,pct_apartment
All,1699790,3939.37557550524,3261.56543434858,2982.62013729977,71.275523447014,0.664779766912383
Non-REP Side,1296313,4146.57837056328,3380.00346601606,3136.36363636364,71.3495868667521,0.676038888756033
REP Side,403477,3273.66308911914,2743.98276956478,2543.85964912281,71.0375684363669,0.628605843703606
