cutoff,coef,se,p_value
-500,-0.0211436588423499,0.00809785465282264,0.00902726668119726
-250,0.0213810579516434,0.00644205698585579,0.000903469172188285
250,0.0422381951244555,0.0100011413505936,0.0000240710962492845
500,-0.00958877159812221,0.0112788080194424,0.395237114370987
