bw_multiple,bandwidth,coef,se,ci_lower,ci_upper,n_eff
0.5,28.6287954181526,0.066282085882718,0.00526773947357756,0.055957506234566,0.07660666553087,215957
0.75,42.9431931272288,0.0538868103564898,0.00462663724966345,0.044818767977618,0.0629548527353616,249375
1,57.2575908363051,0.0526288044203724,0.00424193289062721,0.0443147687299072,0.0609428401108377,273919
1.25,71.5719885453814,0.053998461914734,0.00394630372285872,0.0462638487458746,0.0617330750835934,295002
1.5,85.8863862544577,0.0555610139710581,0.00372495736805583,0.0482602316857215,0.0628617962563946,312268
2,114.51518167261,0.0552933108003995,0.00339206168973528,0.0486449920551802,0.0619416295456187,344440
