Country,Period,Mean transactions/month,SD transactions/month,Mean price (£),SD price (£),Freehold share,Flat share,Category B share,New-build share,PRS share (Census 2021),N (LA-months),N (LAs)
England,Pre (Jan 2018 -- Nov 2022),259.190503672613,189.510303860998,413459.977387061,666246.52623615,0.775024549979552,0.173116365587763,0.162288878264651,0.119625132926146,0.153674068140399,19060,339
England,Post (Dec 2022+),226.71267707955,159.954810083213,424295.977722795,394340.053936368,0.768381709543499,0.180157825159829,0.158358069621239,0.0822758503876665,0.155219251316434,11012,313
Wales,Pre (Jan 2018 -- Nov 2022),207.753466872111,109.618716461951,216058.46891149,71014.1410468784,0.911269089301664,0.0600600293779659,0.158804208432372,0.0677929348741693,0.156177248923342,1298,22
Wales,Post (Dec 2022+),164.534398034398,86.280831962559,247333.776533441,67544.5352085463,0.911466386171691,0.0633214111225639,0.159506057474349,0.0424279444382923,0.156177248923342,814,22
