spec,coef,se,n,pval
Bandwidth = 0.5km,0.114507612841681,0.0287151631598528,95298,6.67154202446377e-05
Bandwidth = 1km,0.157675887203934,0.029525409647472,204088,9.27696331388396e-08
Bandwidth = 2km,0.207199145195598,0.0304052648273104,361528,9.45387837846322e-12
Bandwidth = 5km,0.301653763612613,0.0332957991102239,605215,1.30672589656371e-19
Donut (>200m from boundary),0.213950486795738,0.0310778895163839,328591,5.80596217568978e-12
Placebo: Commercial properties,0.164204816663075,0.0375580676416755,27732,1.23099335634586e-05
