Group,N Transactions,Mean Price (GBP),Median Price (GBP),SD Price (GBP),Pct Detached,Pct Semi,Pct Terrace,Pct Flat,Pct Freehold,Pct New Build
Control (Low/VeryLow/None),"11,939,328","307,880","237,000","344,437",25.1,28.3,27.6,18.9,76.2,10.9
Flood Risk (High/Medium),"476,015","293,291","234,995","244,455",28.1,24.2,29.6,18.1,78.0,8.3
