Variable,N,Mean,SD,P25,Median,P75
Number of Claims,484939,16.1349860497918,10.3204598665283,10,15,20
Backward Citations,484939,16.5200221058731,74.8038287561067,2,5,12
Examiner Leniency (LOO),484939,0.0779861602910563,0.0700497103511617,0.0311804008908686,0.0585106382978723,0.0994764397905759
Follow-on Y02 Patents (3yr),484939,16028.0836765036,10001.2506925321,8161,12441,25874
Follow-on Y02 Patents (5yr),484939,26619.7141784843,16422.7882695217,14285,20763,40106
Follow-on Y02 Patents (10yr),484939,46007.8403881725,29341.84982443,24615,36257,62367
Forward Citations,484939,8.20111807876867,38.4460569777339,0,2,6
