model,estimate,se,n,tstat,pval,stars
2km ring,0.0119191146644042,0.0118747432035902,2106405,1.00373662487291,0.31550557868323,""
5km ring,0.0323448507290889,0.00754761444995611,2106405,4.28544024652411,1.82377664247385e-05,***
10km ring,0.0416927255805428,0.00635894671281952,2106405,6.55654583431105,5.50683993358055e-11,***
Phase2 vs Phase1,0.0833257699988314,0.0107681953878896,601740,7.73813689270006,1.00884194801237e-14,***
Continuous (1/dist),-0.0269877163932512,0.0107454190903837,800777,-2.5115554978589,0.0120200384187885,**
