Variable,N,Mean,SD,Min,Max
Significant rules (quarterly count),480,2.81666666666667,4.23472735802424,0,29
Proposed rules (quarterly count),480,21.0833333333333,40.3848052893693,0,173
Final rules (quarterly count),480,28.0666666666667,54.9521307469111,0,229
"Incident coverage, log",480,9.76406501549418,4.92903744154175,0,16.3999726817118
"Agency burden coverage, log (neg-tone)",480,10.8949518080821,3.89876050655807,0,15.1493567475563
"Cross-sector competing news, log",480,16.499919477683,0.401883219683325,15.3642402575883,17.23999618444
Total GKG news volume (millions/quarter),480,41.01360035,13.9720080471397,22.833684,69.622985
