horizon,coef_incident,se_incident,coef_burden,se_burden
0,-0.0609656619422786,0.0758452706376587,0.226969143136317,0.022890688303724
1,-0.201219982634811,0.0696327483252569,0.366837520040789,0.0684156495291148
2,-0.0758353307771944,0.081609009942778,0.294171908580709,0.0979573324186082
3,-0.10807097990247,0.070902917667328,0.35822201042825,0.0903986606065194
4,-0.0295063153352472,0.0895495285062232,0.22703529707283,0.10756116966254
5,-0.137507917678431,0.0961123732836153,0.273341445204724,0.162384785991935
6,-0.0525876169392193,0.0692779103591118,0.332603771900577,0.106407049728362
