period,N,coef_incident,se_incident,coef_burden,se_burden
Obama/Pre-Trump,77,-0.134899182921744,0.123124160667884,-0.0188847593394085,0.624464295009819
Trump (EO 13771 period),176,0.077535599863988,0.204187468595181,-0.258318654999563,0.111851870855251
Biden,176,0.045590511278804,0.121168117706492,0.224999117981348,0.0493951591079634
