outcome,coef_incident,se_incident,coef_burden,se_burden
proposed,-0.139352667665161,0.0567933064048684,0.118375161760686,0.0506273169828815
final,-0.0201368465166542,0.0967345129606707,0.0365414220167975,0.0405940817950882
