model,N,coef_incident,se_incident,coef_burden,se_burden
M1: Incident only,429,-0.0079867804356863,0.0850497926522236,,
M2: Incident+Burden,429,-0.0609656619422786,0.0758452706376587,0.226969143136317,0.022890688303724
M3: Proposed rules,429,-0.139352667665161,0.0567933064048684,0.118375161760686,0.0506273169828815
M4: Final rules,429,-0.0201368465166542,0.0967345129606707,0.0365414220167975,0.0405940817950882
