segment,estimate,se,p_value,n_treated,ci_lower,ci_upper
DE-AT,0.039648661866447,0.00956519030872962,3.93788593116978e-05,62,0.0209008888613369,0.058396434871557
AT-SI,0.0442044157275502,0.0245297259418197,0.0721505170396895,5,-0.00387384711841632,0.0922826785735167
DK-DE,-0.0142851720642029,0.0158449122495169,0.367724478561175,16,-0.0453412000732561,0.0167708559448502
SE-DK,-0.0120940860048827,0.0509869646362427,0.812601924136142,3,-0.112028536691918,0.0878403646821531
FR-all,-0.138763603320705,0.00888338309526488,1.70916729427088e-45,45,-0.156175034187424,-0.121352172453985
AT-HU,0.130842974192294,0.025857344915379,5.95056335089522e-07,3,0.0801625781581515,0.181523370226437
