outcome,estimate,se,p_value,n_obs,n_regions,ci_lower,ci_upper,stars
Log GDP pc,-0.0274316599223691,0.0101146340252998,0.00687268703877769,14999,618,-0.0472563426119567,-0.00760697723278147,***
Log Employment,0.0152237016011807,0.00690288455059774,0.0277932312052275,14999,618,0.00169404788200911,0.0287533553203523,**
Log GVA Total,0.00420391351165241,0.0105588675531658,0.690664297596929,14999,618,-0.0164914668925526,0.0248992939158574,""
Log GVA Trade,-0.0837252396003557,0.0201725984620737,5.06798059599983e-05,4545,185,-0.12326353258602,-0.0441869466146913,***
Log GVA Manuf,-0.00745403199225543,0.0225452450250893,0.74103965419077,14983,618,-0.0516427122414305,0.0367346482569196,""
Log GDP pc (CS),-0.00730938214574977,0.00481430515665602,0.128948071629072,12340,617,-0.0167454202527956,0.00212665596129604,""
