excluded_segment,estimate,se,p_value,n_obs
DE-AT,-0.0834666832000851,0.0122412611687931,2.40867379326592e-11,13511
AT-SI,-0.030196533778501,0.0102977158724017,0.00348979050128414,14877
DK-DE,-0.029384442902359,0.0109983024373699,0.00775081730371868,14614
SE-DK,-0.0278159034775686,0.0102294497003993,0.00672908279475552,14924
FR-all,0.0323005020905486,0.00880050919678413,0.000264938758957469,13874
AT-HU,-0.0312084112110226,0.0100343598209008,0.00195655372258963,14924
