lb,ub,method,Delta,Mbar
-0.00216371713170002,0.0197012138833738,C-LF,DeltaRM,0
-0.061608998328932,0.0789187353825321,C-LF,DeltaRM,0.5
-0.113765969187806,0.113765969187806,C-LF,DeltaRM,1
-0.113765969187806,0.113765969187806,C-LF,DeltaRM,1.5
-0.113765969187806,0.113765969187806,C-LF,DeltaRM,2
