region_type,mean_gdp_pc,sd_gdp_pc,mean_emp,sd_emp,n_regions,n_obs
treated_border,27047.7611940299,10367.8552056653,132.787930348259,142.60063914204,134,2010
interior,27375.4972032314,13380.3159760563,139.598076444997,198.884898370261,430,6436
control_border,30856.049382716,11650.4134134632,162.820777777778,114.917367975043,54,810
