"outcome","beta","se","sd_y","sde","sde_se","classification"
"Saber 11 Global (binary)",0.524624312398366,3.11051438435651,20.4384488131645,0.0256684994636409,0.152189357068674,"Small positive"
"Saber 11 Math (binary)",0.312171369918262,0.706801857553856,4.87720503468117,0.0640062018509478,0.144919447209596,"Moderate positive"
"Saber 11 Reading (binary)",0.101813005793074,0.554476051252493,3.64650881158881,0.0279206800404557,0.152056687615929,"Small positive"
