"outcome","beta","se","sd_y","sde","sde_se","classification"
"Global, small munis",-5.72256235789448,5.10405105370379,20.4384488131645,-0.279990052582099,0.249727907453341,"Large negative"
"Global, large munis",4.15242026907469,3.84540176473426,20.4384488131645,0.203167094872684,0.188145480113805,"Large positive"
