lb,ub,method,Delta,Mbar
-0.06386128314918116,0.05413004000263921,C-LF,DeltaRM,0
-0.07724174247567628,0.06507768854249885,C-LF,DeltaRM,0.5
-0.09913703955539555,0.086972985622218,C-LF,DeltaRM,1
-0.12833076899502116,0.11616671506184373,C-LF,DeltaRM,1.5
-0.15995730922128226,0.14779325528810483,C-LF,DeltaRM,2
