group,N Communes,Mean Price/m² (€),Median Price/m² (€),Mean Transactions/Year,Pct Apartments,Mean Area (m²)
ACV Cities,107,1547,1312,179.2,44.4,91
Control Cities,540,1564,1370,11.7,10.5,111.8
