rel_year,estimate,se,ci_low,ci_high
-4,0.006242645799713862,0.03153236700073847,-0.055560793521733536,0.06804608512116125
-3,-0.018045245448459712,0.029665154855462006,-0.07618894896516525,0.040098458068245815
-2,-0.005758828216637704,0.03110189768324065,-0.06671854767578939,0.055200891242513976
-1,0,0,0,0
0,-0.005329418203294773,0.03037972469811045,-0.06487367861159125,0.05421484220500171
1,0.010075805667983658,0.030065870028518234,-0.04885329958791208,0.06900491092387939
2,0.0903865961796231,0.03339362650656436,0.02493508822675694,0.15583810413248925
3,0.10538392129690753,0.031163940744335664,0.044302597438009635,0.16646524515580544
4,0.04256615006687807,0.0305374286080388,-0.017287210004877977,0.10241951013863412
5,0.10013004936708018,0.03352320920163153,0.03442455933188239,0.16583553940227796
6,0.10486046245212481,0.03075087422736275,0.04458874896649382,0.1651321759377558
