model,coefficient,std_error,t_stat,p_value,n_obs,r2
Basic DiD,0.21489858276865204,0.028536423800940763,7.530676733276138,1.1807224781286245e-13,5364,0.04402705283462893
Commune + Year FE,0.07280775435968,0.015555560650549902,4.680496961522643,3.5963888028655713e-6,4980,0.7605258981510857
Dep × Year FE,0.05998281104310971,0.018834105803929246,3.1847973918993198,0.001529394466194511,4967,0.8236345720989295
Transaction Volume,0.15258548032542882,0.08017843825728863,1.9030737395481512,0.0575452851770904,4980,0.9532306131272325
Transaction-Level,0.006141552207903825,0.015070799249121532,0.407513371147971,0.683783443826047,546295,0.49295056710817076
Trans-Level Dep×Year,0.01700032061597122,0.01108095233352091,1.534193100402,0.12553505650852956,546292,0.4975213995870217
