Year,Coefficient,SE,p_value
2012,-13.8011346430389,7.62485790366475,0.0725506923899775
2013,9.54244957267146,9.02509258505833,0.292280279838217
2014,-3.76678214329943,9.06579175242314,0.678449869249639
2015,0,,
2016,0.524884989575727,7.82465797294488,0.946618046794859
2017,7.98513212187948,6.77544613355958,0.240685754933618
2018,2.42953755157511,10.6109944339131,0.819248465432536
2019,-0.643883563204179,9.67679955636344,0.947048710388484
