Group,Mean Trial Sites,SD Trial Sites,Mean Enrollment,Mean Terminal Trials,Mean Non-Terminal Trials,Mean Phase I Trials,Mean Observational,Industry Share,N (state-quarters)
Eventually Treated,92.7,58.5,60867,26.2,17.4,12.9,17.9,0.745,1520
Never Treated,54.4,57.1,37666,17.8,8.8,8,11.6,0.649,520
