part,term,statistic,"(1) Cancer
(Placebo)","(2) Liver Disease
(Positive Control)","(3) Drug Deaths
(Main)"
estimates,ph_grant_per_head,estimate,0.071,0.043,-0.023
estimates,ph_grant_per_head,std.error,(0.377),(0.105),(0.034)
gof,Num.Obs.,"",292,564,540
gof,R2,"",0.994,0.825,0.933
